SKU;Display name;Class;Status;Brend;Project;Actually;Added;Dropped;Volume;Alcohol (procents)
#906;SKU #906;#10;#1;#73;#8;#1;11.09.2020;01.01.1900;0.7;0.4
#907;SKU #907;#13;#1;#298;#40;#1;07.08.2018;01.01.1900;0.75;0.11
#908;SKU #908;;;;;;;;0;0
#909;SKU #909;#11;#1;#85;#11;#1;22.06.2017;01.01.1900;0.7;0.4
#910;SKU #910;;;;;;;;0;0
#911;SKU #911;;;;;;;;0;0
#912;SKU #912;;;;;;;;0;0
#913;SKU #913;;;;;;;;0;0
#914;SKU #914;;;;;;;;0;0
#915;SKU #915;;;;;;;;0;0
#916;SKU #916;;;;;;;;0;0
#917;SKU #917;#16;#2;#261;#34;#1;07.08.2018;01.01.1900;0.375;0.12
#918;SKU #918;;;;;;;;0;0
#919;SKU #919;#10;#1;#70;#8;#1;01.01.2001;01.01.1900;0.05;0.4
#920;SKU #920;#1;#1;#11;#1;#1;01.06.2020;01.01.1900;0.05;0.4
#921;SKU #921;#1;#1;#11;#1;#1;19.10.2018;01.01.1900;3;0.4
#922;SKU #922;#12;#1;#306;#41;#1;26.11.2018;01.01.1900;0.75;0.135
#923;SKU #923;#13;#2;#301;#41;#1;24.03.2020;01.01.1900;0.75;0.115
#924;SKU #924;#12;#1;#292;#40;#1;22.05.2018;01.01.1900;0.75;0.15
#925;SKU #925;#12;#2;#198;#33;#2;16.01.2020;01.01.1900;0.75;0.145
#926;SKU #926;#7;#1;#63;#6;#1;06.08.2019;01.01.1900;0.7;0.38
#927;SKU #927;#1;#2;#39;#1;#1;26.03.2019;13.07.2020;0.7;0.4
#928;SKU #928;;;;;;;;0;0
#929;SKU #929;#12;#1;#266;#34;#1;05.12.2018;01.01.1900;0.75;0.13
#930;SKU #930;#12;#1;#263;#34;#1;05.12.2018;01.01.1900;0.75;0.135
#931;SKU #931;#12;#1;#304;#41;#1;26.11.2018;01.01.1900;0.75;0.135
#932;SKU #932;;;;;;;;0;0
#933;SKU #933;;;;;;;;0;0
#934;SKU #934;;;;;;;;0;0
#935;SKU #935;;;;;;;;0;0
#936;SKU #936;;;;;;;;0;0
#937;SKU #937;;;;;;;;0;0
#938;SKU #938;#12;#1;#282;#35;#1;24.12.2014;01.01.1900;0.75;0.135
#939;SKU #939;;;;;;;;0;0
#940;SKU #940;#10;#1;#42;#1;#1;25.10.2017;01.01.1900;0.5;0.4
#941;SKU #941;#12;#1;#211;#33;#1;27.09.2017;01.01.1900;0.75;0.12
#942;SKU #942;;;;;;;;0;0
#943;SKU #943;;;;;;;;0;0
#944;SKU #944;;;;;;;;0;0
#945;SKU #945;;;;;;;;0;0
#946;SKU #946;;;;;;;;0;0
#947;SKU #947;#12;#1;#295;#40;#1;22.05.2018;01.01.1900;0.75;0.135
#948;SKU #948;;;;;;;;0;0
#949;SKU #949;;;;;;;;0;0
#950;SKU #950;;;;;;;;0;0
#951;SKU #951;;;;;;;;0;0
#952;SKU #952;;;;;;;;0;0
#953;SKU #953;#12;#1;#259;#34;#1;07.08.2018;01.01.1900;0.75;0.15
#954;SKU #954;#16;#2;#261;#34;#1;07.08.2018;01.01.1900;0.75;0.12
#955;SKU #955;#5;#1;#77;#8;#1;16.11.2011;01.01.1900;0.7;0.44
#956;SKU #956;#10;#1;#74;#8;#1;01.01.2001;01.01.1900;0.7;0.442
#957;SKU #957;;;;;;;;0;0
#958;SKU #958;;;;;;;;0;0
#959;SKU #959;;;;;;;;0;0
#960;SKU #960;;;;;;;;0;0
#961;SKU #961;;;;;;;;0;0
#962;SKU #962;;;;;;;;0;0
#963;SKU #963;#1;#2;#11;#1;#1;15.01.2020;01.01.1900;0.375;0.4
#964;SKU #964;;;;;;;;0;0
#965;SKU #965;;;;;;;;0;0
#966;SKU #966;;;;;;;;0;0
#967;SKU #967;;;;;;;;0;0
#968;SKU #968;;;;;;;;0;0
#969;SKU #969;;;;;;;;0;0
#970;SKU #970;;;;;;;;0;0
#971;SKU #971;;;;;;;;0;0
#972;SKU #972;;;;;;;;0;0
#973;SKU #973;;;;;;;;0;0
#974;SKU #974;;;;;;;;0;0
#975;SKU #975;;;;;;;;0;0
#976;SKU #976;;;;;;;;0;0
#977;SKU #977;;;;;;;;0;0
#978;SKU #978;;;;;;;;0;0
#979;SKU #979;;;;;;;;0;0
#980;SKU #980;;;;;;;;0;0
#981;SKU #981;;;;;;;;0;0
#982;SKU #982;#12;#1;#301;#41;#1;19.05.2020;01.01.1900;0.75;0.115
#983;SKU #983;;;;;;;;0;0
#984;SKU #984;#12;#1;#260;#34;#1;13.08.2018;01.01.1900;0.75;0.14
#985;SKU #985;;;;;;;;0;0
#986;SKU #986;;;;;;;;0;0
#987;SKU #987;#1;#1;#31;#1;#2;06.11.2020;01.01.1900;0.7;0.4
#988;SKU #988;#1;#2;#39;#1;#1;17.07.2020;28.03.2022;0.7;0.4
#989;SKU #989;#1;#2;#34;#1;#1;30.01.2020;28.03.2022;0.7;0.4
#990;SKU #990;#1;#1;#13;#1;#1;19.07.2019;01.01.1900;0.7;0.4
#991;SKU #991;;;;;;;;0;0
#992;SKU #992;#10;#1;#73;#8;#1;01.01.2001;01.01.1900;0.75;0.4
#993;SKU #993;#1;#1;#6;#1;#1;24.02.2012;01.01.1900;0.25;0.4
#994;SKU #994;#1;#1;#2;#1;#1;15.07.2020;01.01.1900;0.25;0.4
#995;SKU #995;#1;#1;#1;#1;#1;07.02.2020;01.01.1900;0.5;0.4
#996;SKU #996;#1;#1;#2;#1;#1;17.07.2019;01.01.1900;0.5;0.4
#997;SKU #997;#1;#1;#1;#1;#1;07.02.2020;01.01.1900;0.25;0.4
#998;SKU #998;;;;;;;;0;0
#999;SKU #999;#1;#2;#12;#1;#1;19.11.2018;15.01.2020;0.75;0.4
#1000;SKU #1000;;;;;;;;0;0
#1001;SKU #1001;;;;;;;;0;0
#1002;SKU #1002;;;;;;;;0;0
#1003;SKU #1003;;;;;;;;0;0
#1004;SKU #1004;;;;;;;;0;0
#1005;SKU #1005;;;;;;;;0;0
#1006;SKU #1006;#12;#1;#264;#34;#1;05.12.2018;01.01.1900;0.75;0.135
#1007;SKU #1007;#12;#1;#264;#34;#1;05.12.2018;01.01.1900;0.75;0.135
#1008;SKU #1008;#12;#1;#293;#40;#1;22.05.2018;01.01.1900;0.75;0.155
#1009;SKU #1009;#2;#1;#52;#2;#1;22.02.2019;01.01.1900;0.5;0.35
#1010;SKU #1010;;;;;;;;0;0
#1011;SKU #1011;;;;;;;;0;0
#1012;SKU #1012;#12;#1;#53;#3;#1;05.12.2018;01.01.1900;0.75;0.11
#1013;SKU #1013;;;;;;;;0;0
#1014;SKU #1014;;;;;;;;0;0
#1015;SKU #1015;#10;#1;#75;#8;#1;26.10.2012;01.01.1900;0.5;0.4
#1016;SKU #1016;#1;#1;#163;#28;#1;12.12.2018;01.01.1900;0.5;0.4
#1017;SKU #1017;#1;#2;#11;#1;#1;31.08.2017;01.01.1900;0.375;0.4
#1018;SKU #1018;#1;#1;#11;#1;#1;01.01.2001;01.01.1900;0.05;0.4
#1019;SKU #1019;#1;#1;#16;#1;#1;01.12.2016;01.01.1900;0.75;0.4
#1020;SKU #1020;#1;#2;#163;#28;#1;01.08.2014;17.04.2018;0.5;0.4
#1021;SKU #1021;;;;;;;;0;0
#1022;SKU #1022;;;;;;;;0;0
#1023;SKU #1023;;;;;;;;0;0
#1024;SKU #1024;;;;;;;;0;0
#1025;SKU #1025;;;;;;;;0;0
#1026;SKU #1026;#10;#1;#74;#8;#1;01.01.2001;01.01.1900;0.7;0.4
#1027;SKU #1027;;;;;;;;0;0
#1028;SKU #1028;#1;#1;#11;#1;#1;16.05.2018;01.01.1900;1;0.4
#1029;SKU #1029;;;;;;;;0;0
#1030;SKU #1030;;;;;;;;0;0
#1031;SKU #1031;#5;#1;#77;#8;#1;17.05.2019;24.09.2020;1;0.44
#1032;SKU #1032;;;;;;;;0;0
#1033;SKU #1033;#1;#1;#11;#1;#1;03.07.2014;01.01.1900;1;0.4
#1034;SKU #1034;;;;;;;;0;0
#1035;SKU #1035;#10;#1;#75;#8;#1;26.10.2012;01.01.1900;0.05;0.4
#1036;SKU #1036;#15;#1;#82;#9;#1;17.12.2013;01.01.1900;0.7;0.7
#1037;SKU #1037;;;;;;;;0;0
#1038;SKU #1038;#2;#2;#29;#1;#1;26.01.2018;20.01.2020;0.25;0.45
#1039;SKU #1039;;;;;;;;0;0
#1040;SKU #1040;;;;;;;;0;0
#1041;SKU #1041;;;;;;;;0;0
#1042;SKU #1042;;;;;;;;0;0
#1043;SKU #1043;;;;;;;;0;0
#1044;SKU #1044;;;;;;;;0;0
#1045;SKU #1045;;;;;;;;0;0
#1046;SKU #1046;;;;;;;;0;0
#1047;SKU #1047;;;;;;;;0;0
#1048;SKU #1048;;;;;;;;0;0
#1049;SKU #1049;;;;;;;;0;0
#1050;SKU #1050;;;;;;;;0;0
#1051;SKU #1051;#10;#1;#74;#8;#1;14.05.2020;01.01.1900;0.7;0.483
#1052;SKU #1052;;;;;;;;0;0
#1053;SKU #1053;#12;#1;#217;#33;#1;17.01.2019;01.01.1900;0.75;0.135
#1054;SKU #1054;;;;;;;;0;0
#1055;SKU #1055;;;;;;;;0;0
#1056;SKU #1056;;;;;;;;0;0
#1057;SKU #1057;;;;;;;;0;0
#1058;SKU #1058;;;;;;;;0;0
#1059;SKU #1059;;;;;;;;0;0
#1060;SKU #1060;;;;;;;;0;0
#1061;SKU #1061;;;;;;;;0;0
#1062;SKU #1062;;;;;;;;0;0
#1063;SKU #1063;;;;;;;;0;0
#1064;SKU #1064;;;;;;;;0;0
#1065;SKU #1065;;;;;;;;0;0
#1066;SKU #1066;;;;;;;;0;0
#1067;SKU #1067;;;;;;;;0;0
#1068;SKU #1068;;;;;;;;0;0
#1069;SKU #1069;;;;;;;;0;0
#1070;SKU #1070;;;;;;;;0;0
#1071;SKU #1071;;;;;;;;0;0
#1072;SKU #1072;;;;;;;;0;0
#1073;SKU #1073;;;;;;;;0;0
#1074;SKU #1074;;;;;;;;0;0
#1075;SKU #1075;;;;;;;;0;0
#1076;SKU #1076;#12;#2;#302;#41;#1;26.11.2018;01.01.1900;0.75;0.13
#1077;SKU #1077;;;;;;;;0;0
#1078;SKU #1078;;;;;;;;0;0
#1079;SKU #1079;;;;;;;;0;0
#1080;SKU #1080;;;;;;;;0;0
#1081;SKU #1081;;;;;;;;0;0
#1082;SKU #1082;;;;;;;;0;0
#1083;SKU #1083;;;;;;;;0;0
#1084;SKU #1084;#10;#1;#74;#8;#1;14.05.2020;01.01.1900;0.7;0.43
#1085;SKU #1085;#10;#1;#73;#8;#1;12.08.2019;01.01.1900;0.7;0.4
#1086;SKU #1086;#1;#1;#11;#1;#1;09.04.2019;01.01.1900;1;0.4
#1087;SKU #1087;;;;;;;;0;0
#1088;SKU #1088;#1;#1;#16;#1;#1;01.12.2016;01.01.1900;0.7;0.4
#1089;SKU #1089;;;;;;;;0;0
#1090;SKU #1090;#6;#2;#26;#1;#1;19.03.2019;02.11.2021;0.1;0.4
#1091;SKU #1091;;;;;;;;0;0
#1092;SKU #1092;#1;#1;#39;#1;#1;18.12.2019;01.01.1900;0.7;0.4
#1093;SKU #1093;;;;;;;;0;0
#1094;SKU #1094;;;;;;;;0;0
#1095;SKU #1095;;;;;;;;0;0
#1096;SKU #1096;#12;#1;#259;#34;#1;07.08.2018;01.01.1900;0.75;0.145
#1097;SKU #1097;;;;;;;;0;0
#1098;SKU #1098;;;;;;;;0;0
#1099;SKU #1099;;;;;;;;0;0
#1100;SKU #1100;;;;;;;;0;0
#1101;SKU #1101;;;;;;;;0;0
#1102;SKU #1102;;;;;;;;0;0
#1103;SKU #1103;;;;;;;;0;0
#1104;SKU #1104;#10;#1;#76;#8;#1;06.08.2019;01.01.1900;0.7;0.4
#1105;SKU #1105;#16;#2;#267;#34;#1;20.08.2019;26.02.2021;0.75;0.12
#1106;SKU #1106;#1;#1;#11;#1;#1;19.10.2018;01.01.1900;6;0.4
#1107;SKU #1107;;;;;;;;0;0
#1108;SKU #1108;#10;#1;#74;#8;#1;01.01.2001;01.01.1900;0.7;0.478
#1109;SKU #1109;#16;#2;#261;#34;#1;07.08.2018;01.01.1900;0.75;0.12
#1110;SKU #1110;;;;;;;;0;0
#1111;SKU #1111;;;;;;;;0;0
#1112;SKU #1112;;;;;;;;0;0
#1113;SKU #1113;#13;#2;#214;#33;#1;20.11.2017;01.01.1900;0.75;0.105
#1114;SKU #1114;#12;#2;#198;#33;#1;16.01.2020;01.01.1900;0.75;0.125
#1115;SKU #1115;;;;;;;;0;0
#1116;SKU #1116;;;;;;;;0;0
#1117;SKU #1117;;;;;;;;0;0
#1118;SKU #1118;;;;;;;;0;0
#1119;SKU #1119;;;;;;;;0;0
#1120;SKU #1120;;;;;;;;0;0
#1121;SKU #1121;;;;;;;;0;0
#1122;SKU #1122;#13;#1;#54;#3;#1;09.10.2020;01.01.1900;0.75;0.12
#1123;SKU #1123;;;;;;;;0;0
#1124;SKU #1124;;;;;;;;0;0
#1125;SKU #1125;;;;;;;;0;0
#1126;SKU #1126;;;;;;;;0;0
#1127;SKU #1127;;;;;;;;0;0
#1128;SKU #1128;;;;;;;;0;0
#1129;SKU #1129;;;;;;;;0;0
#1130;SKU #1130;;;;;;;;0;0
#1131;SKU #1131;;;;;;;;0;0
#1132;SKU #1132;;;;;;;;0;0
#1133;SKU #1133;;;;;;;;0;0
#1134;SKU #1134;;;;;;;;0;0
#1135;SKU #1135;;;;;;;;0;0
#1136;SKU #1136;;;;;;;;0;0
#1137;SKU #1137;#4;#1;#57;#5;#1;22.08.2018;01.01.1900;0.5;0.3
#1138;SKU #1138;;;;;;;;0;0
#1139;SKU #1139;;;;;;;;0;0
#1140;SKU #1140;;;;;;;;0;0
#1141;SKU #1141;#1;#1;#12;#1;#1;16.01.2020;01.01.1900;0.75;0.4
#1142;SKU #1142;;;;;;;;0;0
#1143;SKU #1143;;;;;;;;0;0
#1144;SKU #1144;;;;;;;;0;0
#1145;SKU #1145;;;;;;;;0;0
#1146;SKU #1146;#1;#2;#163;#28;#1;01.08.2014;17.04.2018;0.7;0.4
#1147;SKU #1147;;;;;;;;0;0
#1148;SKU #1148;;;;;;;;0;0
#1149;SKU #1149;;;;;;;;0;0
#1150;SKU #1150;;;;;;;;0;0
#1151;SKU #1151;;;;;;;;0;0
#1152;SKU #1152;#12;#1;#195;#33;#1;05.06.2015;01.01.1900;0.75;0.135
#1153;SKU #1153;;;;;;;;0;0
#1154;SKU #1154;#12;#1;#215;#33;#1;27.11.2017;01.01.1900;0.75;0.125
#1155;SKU #1155;;;;;;;;0;0
#1156;SKU #1156;;;;;;;;0;0
#1157;SKU #1157;;;;;;;;0;0
#1158;SKU #1158;#6;#2;#26;#1;#1;19.03.2019;27.12.2021;0.25;0.4
#1159;SKU #1159;#10;#1;#72;#8;#1;01.01.2001;01.01.1900;0.5;0.4
#1160;SKU #1160;;;;;;;;0;0
#1161;SKU #1161;;;;;;;;0;0
#1162;SKU #1162;;;;;;;;0;0
#1163;SKU #1163;#1;#2;#5;#1;#1;04.12.2015;09.04.2020;1;0.4
#1164;SKU #1164;;;;;;;;0;0
#1165;SKU #1165;;;;;;;;0;0
#1166;SKU #1166;;;;;;;;0;0
#1167;SKU #1167;;;;;;;;0;0
#1168;SKU #1168;;;;;;;;0;0
#1169;SKU #1169;#1;#1;#15;#1;#1;30.08.2019;01.01.1900;0.7;0.4
#1170;SKU #1170;;;;;;;;0;0
#1171;SKU #1171;#1;#1;#165;#28;#1;21.01.2019;01.01.1900;1;0.4
#1172;SKU #1172;#1;#2;#163;#28;#1;01.08.2014;17.04.2018;0.5;0.4
#1173;SKU #1173;;;;;;;;0;0
#1174;SKU #1174;#11;#2;#83;#10;#1;22.08.2018;11.01.2021;0.7;0.375
#1175;SKU #1175;#11;#1;#83;#10;#1;30.03.2018;01.01.1900;1;0.375
#1176;SKU #1176;;;;;;;;0;0
#1177;SKU #1177;;;;;;;;0;0
#1178;SKU #1178;;;;;;;;0;0
#1179;SKU #1179;;;;;;;;0;0
#1180;SKU #1180;;;;;;;;0;0
#1181;SKU #1181;#1;#1;#11;#1;#1;24.03.2015;01.01.1900;0.7;0.4
#1182;SKU #1182;#1;#2;#13;#1;#1;11.04.2016;15.01.2020;0.7;0.4
#1183;SKU #1183;#1;#1;#12;#1;#1;04.07.2016;01.01.1900;0.7;0.4
#1184;SKU #1184;#12;#1;#263;#34;#1;05.12.2018;01.01.1900;0.75;0.13
#1185;SKU #1185;;;;;;;;0;0
#1186;SKU #1186;;;;;;;;0;0
#1187;SKU #1187;;;;;;;;0;0
#1188;SKU #1188;;;;;;;;0;0
#1189;SKU #1189;;;;;;;;0;0
#1190;SKU #1190;;;;;;;;0;0
#1191;SKU #1191;;;;;;;;0;0
#1192;SKU #1192;;;;;;;;0;0
#1193;SKU #1193;;;;;;;;0;0
#1194;SKU #1194;;;;;;;;0;0
#1195;SKU #1195;;;;;;;;0;0
#1196;SKU #1196;;;;;;;;0;0
#1197;SKU #1197;;;;;;;;0;0
#1198;SKU #1198;;;;;;;;0;0
#1199;SKU #1199;;;;;;;;0;0
#1200;SKU #1200;;;;;;;;0;0
#1201;SKU #1201;;;;;;;;0;0
#1202;SKU #1202;;;;;;;;0;0
#1203;SKU #1203;;;;;;;;0;0
#1204;SKU #1204;;;;;;;;0;0
#1205;SKU #1205;;;;;;;;0;0
#1206;SKU #1206;;;;;;;;0;0
#1207;SKU #1207;;;;;;;;0;0
#1208;SKU #1208;;;;;;;;0;0
#1209;SKU #1209;;;;;;;;0;0
#1210;SKU #1210;;;;;;;;0;0
#1211;SKU #1211;;;;;;;;0;0
#1212;SKU #1212;;;;;;;;0;0
#1213;SKU #1213;;;;;;;;0;0
#1214;SKU #1214;;;;;;;;0;0
#1215;SKU #1215;;;;;;;;0;0
#1216;SKU #1216;#10;#1;#73;#8;#1;03.03.2016;01.01.1900;0.75;0.4
#1217;SKU #1217;;;;;;;;0;0
#1218;SKU #1218;;;;;;;;0;0
#1219;SKU #1219;;;;;;;;0;0
#1220;SKU #1220;#16;#2;#261;#34;#1;07.08.2018;01.01.1900;0.75;0.12
#1221;SKU #1221;;;;;;;;0;0
#1222;SKU #1222;;;;;;;;0;0
#1223;SKU #1223;;;;;;;;0;0
#1224;SKU #1224;;;;;;;;0;0
#1225;SKU #1225;#12;#1;#215;#33;#1;27.11.2017;01.01.1900;0.75;0.13
#1226;SKU #1226;;;;;;;;0;0
#1227;SKU #1227;#12;#1;#205;#33;#1;29.09.2017;01.01.1900;0.75;0.13
#1228;SKU #1228;;;;;;;;0;0
#1229;SKU #1229;#12;#1;#257;#34;#1;07.08.2018;01.01.1900;0.75;0.125
#1230;SKU #1230;;;;;;;;0;0
#1231;SKU #1231;;;;;;;;0;0
#1232;SKU #1232;;;;;;;;0;0
#1233;SKU #1233;;;;;;;;0;0
#1234;SKU #1234;;;;;;;;0;0
#1235;SKU #1235;#1;#1;#34;#1;#1;08.10.2020;01.01.1900;0.7;0.4
#1236;SKU #1236;;;;;;;;0;0
#1237;SKU #1237;;;;;;;;0;0
#1238;SKU #1238;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.115
#1239;SKU #1239;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.115
#1240;SKU #1240;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.125
#1241;SKU #1241;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.13
#1242;SKU #1242;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.12
#1243;SKU #1243;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.11
#1244;SKU #1244;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.11
#1245;SKU #1245;#12;#1;#320;#47;#1;28.08.2020;01.01.1900;0.75;0.13
#1246;SKU #1246;#12;#2;#320;#47;#1;28.08.2020;22.07.2022;0.75;0.13
#1247;SKU #1247;;;;;;;;0;0
#1248;SKU #1248;;;;;;;;0;0
#1249;SKU #1249;;;;;;;;0;0
#1250;SKU #1250;;;;;;;;0;0
#1251;SKU #1251;;;;;;;;0;0
#1252;SKU #1252;#1;#1;#15;#1;#1;20.09.2017;01.01.1900;0.5;0.4
#1253;SKU #1253;#11;#1;#85;#11;#1;03.02.2015;24.09.2020;0.7;0.4
#1254;SKU #1254;#6;#1;#96;#17;#1;31.01.2020;01.01.1900;0.7;0.4
#1255;SKU #1255;#1;#1;#11;#1;#1;31.08.2018;01.01.1900;0.7;0.4
#1256;SKU #1256;;;;;;;;0;0
#1257;SKU #1257;;;;;;;;0;0
#1258;SKU #1258;;;;;;;;0;0
#1259;SKU #1259;;;;;;;;0;0
#1260;SKU #1260;;;;;;;;0;0
#1261;SKU #1261;;;;;;;;0;0
#1262;SKU #1262;;;;;;;;0;0
#1263;SKU #1263;;;;;;;;0;0
#1264;SKU #1264;;;;;;;;0;0
#1265;SKU #1265;;;;;;;;0;0
#1266;SKU #1266;;;;;;;;0;0
#1267;SKU #1267;;;;;;;;0;0
#1268;SKU #1268;;;;;;;;0;0
#1269;SKU #1269;;;;;;;;0;0
#1270;SKU #1270;;;;;;;;0;0
#1271;SKU #1271;;;;;;;;0;0
#1272;SKU #1272;;;;;;;;0;0
#1273;SKU #1273;#2;#2;#36;#1;#1;08.04.2020;28.03.2022;0.5;0.35
#1274;SKU #1274;;;;;;;;0;0
#1275;SKU #1275;;;;;;;;0;0
#1276;SKU #1276;;;;;;;;0;0
#1277;SKU #1277;#12;#1;#203;#33;#1;15.09.2017;01.01.1900;0.75;0.13
#1278;SKU #1278;#1;#2;#163;#28;#1;26.02.2018;24.10.2019;1;0.4
#1279;SKU #1279;;;;;;;;0;0
#1280;SKU #1280;#1;#1;#11;#1;#1;24.03.2015;01.01.1900;0.5;0.4
#1281;SKU #1281;;;;;;;;0;0
#1282;SKU #1282;;;;;;;;0;0
#1283;SKU #1283;;;;;;;;0;0
#1284;SKU #1284;;;;;;;;0;0
#1285;SKU #1285;#1;#1;#13;#1;#1;16.02.2018;01.01.1900;0.7;0.4
#1286;SKU #1286;;;;;;;;0;0
#1287;SKU #1287;;;;;;;;0;0
#1288;SKU #1288;;;;;;;;0;0
#1289;SKU #1289;;;;;;;;0;0
#1290;SKU #1290;;;;;;;;0;0
#1291;SKU #1291;;;;;;;;0;0
#1292;SKU #1292;;;;;;;;0;0
#1293;SKU #1293;;;;;;;;0;0
#1294;SKU #1294;;;;;;;;0;0
#1295;SKU #1295;;;;;;;;0;0
#1296;SKU #1296;;;;;;;;0;0
#1297;SKU #1297;;;;;;;;0;0
#1298;SKU #1298;;;;;;;;0;0
#1299;SKU #1299;;;;;;;;0;0
#1300;SKU #1300;;;;;;;;0;0
#1301;SKU #1301;;;;;;;;0;0
#1302;SKU #1302;;;;;;;;0;0
#1303;SKU #1303;;;;;;;;0;0
#1304;SKU #1304;#12;#1;#257;#34;#1;07.08.2018;01.01.1900;0.75;0.12
#1305;SKU #1305;#12;#1;#294;#40;#1;22.05.2018;24.09.2020;0.75;0.16
#1306;SKU #1306;#12;#1;#302;#41;#2;26.11.2018;01.01.1900;0.75;0.145
#1307;SKU #1307;#12;#1;#293;#40;#1;22.05.2018;01.01.1900;0.75;0.13
#1308;SKU #1308;;;;;;;;0;0
#1309;SKU #1309;#1;#1;#11;#1;#1;24.05.2018;01.01.1900;0.7;0.4
#1310;SKU #1310;;;;;;;;0;0
#1311;SKU #1311;;;;;;;;0;0
#1312;SKU #1312;;;;;;;;0;0
#1313;SKU #1313;;;;;;;;0;0
#1314;SKU #1314;#12;#1;#263;#34;#1;05.12.2018;01.01.1900;0.75;0.13
#1315;SKU #1315;;;;;;;;0;0
#1316;SKU #1316;;;;;;;;0;0
#1317;SKU #1317;#12;#1;#283;#35;#1;24.12.2014;24.09.2020;0.75;0.14
#1318;SKU #1318;;;;;;;;0;0
#1319;SKU #1319;;;;;;;;0;0
#1320;SKU #1320;;;;;;;;0;0
#1321;SKU #1321;;;;;;;;0;0
#1322;SKU #1322;;;;;;;;0;0
#1323;SKU #1323;;;;;;;;0;0
#1324;SKU #1324;#7;#1;#63;#6;#1;30.06.2020;01.01.1900;0.7;0.4
#1325;SKU #1325;;;;;;;;0;0
#1326;SKU #1326;#10;#1;#74;#8;#1;05.04.2017;01.01.1900;0.7;0.478
#1327;SKU #1327;;;;;;;;0;0
#1328;SKU #1328;#12;#2;#302;#41;#1;26.11.2018;01.01.1900;0.75;0.125
#1329;SKU #1329;#10;#1;#73;#8;#1;05.11.2020;01.01.1900;0.7;0.4
#1330;SKU #1330;;;;;;;;0;0
#1331;SKU #1331;#10;#1;#73;#8;#1;22.03.2017;01.01.1900;0.7;0.43
#1332;SKU #1332;;;;;;;;0;0
#1333;SKU #1333;;;;;;;;0;0
#1334;SKU #1334;;;;;;;;0;0
#1335;SKU #1335;;;;;;;;0;0
#1336;SKU #1336;;;;;;;;0;0
#1337;SKU #1337;;;;;;;;0;0
#1338;SKU #1338;;;;;;;;0;0
#1339;SKU #1339;;;;;;;;0;0
#1340;SKU #1340;;;;;;;;0;0
#1341;SKU #1341;;;;;;;;0;0
#1342;SKU #1342;;;;;;;;0;0
#1343;SKU #1343;;;;;;;;0;0
#1344;SKU #1344;;;;;;;;0;0
#1345;SKU #1345;;;;;;;;0;0
#1346;SKU #1346;;;;;;;;0;0
#1347;SKU #1347;;;;;;;;0;0
#1348;SKU #1348;;;;;;;;0;0
#1349;SKU #1349;;;;;;;;0;0
#1350;SKU #1350;;;;;;;;0;0
#1351;SKU #1351;;;;;;;;0;0
#1352;SKU #1352;;;;;;;;0;0
#1353;SKU #1353;;;;;;;;0;0
#1354;SKU #1354;;;;;;;;0;0
#1355;SKU #1355;;;;;;;;0;0
#1356;SKU #1356;;;;;;;;0;0
#1357;SKU #1357;;;;;;;;0;0
#1358;SKU #1358;;;;;;;;0;0
#1359;SKU #1359;;;;;;;;0;0
#1360;SKU #1360;;;;;;;;0;0
#1361;SKU #1361;;;;;;;;0;0
#1362;SKU #1362;;;;;;;;0;0
#1363;SKU #1363;;;;;;;;0;0
#1364;SKU #1364;;;;;;;;0;0
#1365;SKU #1365;;;;;;;;0;0
#1366;SKU #1366;;;;;;;;0;0
#1367;SKU #1367;;;;;;;;0;0
#1368;SKU #1368;;;;;;;;0;0
#1369;SKU #1369;;;;;;;;0;0
#1370;SKU #1370;;;;;;;;0;0
#1371;SKU #1371;;;;;;;;0;0
#1372;SKU #1372;;;;;;;;0;0
#1373;SKU #1373;;;;;;;;0;0
#1374;SKU #1374;;;;;;;;0;0
#1375;SKU #1375;#12;#1;#255;#34;#1;28.05.2019;01.01.1900;0.75;0.13
#1376;SKU #1376;#9;#2;#90;#14;#1;17.06.2020;27.12.2021;0.7;0.175
#1377;SKU #1377;;;;;;;;0;0
#1378;SKU #1378;;;;;;;;0;0
#1379;SKU #1379;;;;;;;;0;0
#1380;SKU #1380;;;;;;;;0;0
#1381;SKU #1381;;;;;;;;0;0
#1382;SKU #1382;;;;;;;;0;0
#1383;SKU #1383;;;;;;;;0;0
#1384;SKU #1384;;;;;;;;0;0
#1385;SKU #1385;#1;#1;#6;#1;#1;28.02.2017;01.01.1900;0.5;0.4
#1386;SKU #1386;#1;#1;#6;#1;#1;04.12.2015;01.01.1900;0.5;0.4
#1387;SKU #1387;;;;;;;;0;0
#1388;SKU #1388;;;;;;;;0;0
#1389;SKU #1389;;;;;;;;0;0
#1390;SKU #1390;;;;;;;;0;0
#1391;SKU #1391;;;;;;;;0;0
#1392;SKU #1392;;;;;;;;0;0
#1393;SKU #1393;;;;;;;;0;0
